Artikelen                                ,FIELD2  ,FIELD3                     ,FIELD4,FIELD5    ,FIELD6      ,FIELD7      ,FIELD8  ,FIELD9    ,FIELD10           ,FIELD11       ,FIELD12      ,FIELD13
Tijdstip geëxporteerd: 11-9-2018 10:57:49,        ,                           ,      ,          ,            ,            ,        ,          ,                  ,              ,             ,
A.Omschrijving                           ,A.Nummer,Tekst                      ,Aantal,Prijs     ,Bedrag incl.,Bedrag excl.,BTW-code,BTW-tarief,Kortingspercentage,Kortingsbedrag,Omzetgroepnr.,Omzetgroep
"Fles wit 28,50"                         ,213     ,"Fles wit 28,50"           ,2     ,"32,50"   ,"65,00"     ,"53,72"     ,2       ,21%       ,"0,00"            ,"0,00"        ,19           ,Wijnen Meierij
"Fles rood 27,00"                        ,215     ,"Fles rood 27,00"          ,26    ,"27,00"   ,"702,00"    ,"580,06"    ,2       ,21%       ,"0,00"            ,"0,00"        ,19           ,Wijnen Meierij
"Fles rood 28,50"                        ,216     ,"Fles rood 28,50"          ,43    ,"28,50"   ,"1.225,50"  ,"1.012,65"  ,2       ,21%       ,"0,00"            ,"0,00"        ,19           ,Wijnen Meierij
"Fles rosé 27,00"                        ,218     ,"Fles rosé 27,00"          ,1     ,"27,00"   ,"27,00"     ,"22,31"     ,2       ,21%       ,"0,00"            ,"0,00"        ,19           ,Wijnen Meierij
"Fles rosé 28,50"                        ,219     ,"Fles rosé 28,50"          ,8     ,"28,50"   ,"228,00"    ,"188,40"    ,2       ,21%       ,"0,00"            ,"0,00"        ,19           ,Wijnen Meierij
Prosecco glas                            ,220     ,Prosecco glas              ,71    ,"4,75"    ,"337,25"    ,"278,78"    ,2       ,21%       ,"0,00"            ,"0,00"        ,19           ,Wijnen Meierij
Prosecco fles                            ,221     ,Prosecco fles              ,7     ,"28,50"   ,"199,50"    ,"164,85"    ,2       ,21%       ,"0,00"            ,"0,00"        ,19           ,Wijnen Meierij
Dessert wijn                             ,222     ,Dessert wijn               ,15    ,"5,00"    ,"75,00"     ,"61,96"     ,2       ,21%       ,"0,00"            ,"0,00"        ,19           ,Wijnen Meierij
Pedro Ximimez                            ,223     ,Pedro Ximimez              ,17    ,"5,00"    ,"85,00"     ,"70,21"     ,2       ,21%       ,"0,00"            ,"0,00"        ,19           ,Wijnen Meierij
"Glas wit 4,50"                          ,226     ,"Glas wit 4,50"            ,1     ,"4,50"    ,"4,50"      ,"3,72"      ,2       ,21%       ,"0,00"            ,"0,00"        ,20           ,Wijnen Bokkesteeg
"Glas rood 4,50"                         ,229     ,"Glas rood 4,50"           ,1     ,"4,50"    ,"4,50"      ,"3,72"      ,2       ,21%       ,"0,00"            ,"0,00"        ,20           ,Wijnen Bokkesteeg
Prosecco glas                            ,252     ,Prosecco glas              ,0     ,"4,75"    ,"0,00"      ,"0,00"      ,2       ,21%       ,"0,00"            ,"0,00"        ,20           ,Wijnen Bokkesteeg
Carpaccio                                ,257     ,Carpaccio                  ,322   ,"9,50"    ,"3.059,00"  ,"2.885,28"  ,1       ,6%        ,"0,00"            ,"0,00"        ,21           ,Voorgerechten Meierij
Uiensoep                                 ,258     ,Uiensoep                   ,201   ,"5,50"    ,"1.105,50"  ,"1.043,16"  ,1       ,6%        ,"0,00"            ,"0,00"        ,21           ,Voorgerechten Meierij
Garnalenkroketjes                        ,259     ,Garnalenkroketjes          ,206   ,"9,50"    ,"1.957,00"  ,"1.845,81"  ,1       ,6%        ,"0,00"            ,"0,00"        ,21           ,Voorgerechten Meierij
Dagsoep                                  ,260     ,Dagsoep                    ,225   ,"5,50"    ,"1.237,50"  ,"1.167,73"  ,1       ,6%        ,"0,00"            ,"0,00"        ,21           ,Voorgerechten Meierij
Kaas-rucola kroketjes                    ,261     ,Kaas-rucola kroketjes      ,22    ,"9,00"    ,"198,00"    ,"186,78"    ,1       ,6%        ,"0,00"            ,"0,00"        ,21           ,Voorgerechten Meierij
Meierij proefplankje                     ,262     ,Meierij proefplankje       ,111   ,"12,00"   ,"1.332,00"  ,"1.256,52"  ,1       ,6%        ,"0,00"            ,"0,00"        ,21           ,Voorgerechten Meierij
Champignons                              ,263     ,Champignons                ,145   ,"8,50"    ,"1.232,50"  ,"1.162,90"  ,1       ,6%        ,"0,00"            ,"0,00"        ,21           ,Voorgerechten Meierij
Spaanse Garnalen                         ,264     ,Garnalen                   ,1     ,"9,50"    ,"9,50"      ,"8,96"      ,1       ,6%        ,"0,00"            ,"0,00"        ,21           ,Voorgerechten Meierij
Spaanse Garnalen                         ,264     ,Spaanse Garnalen           ,146   ,"9,50"    ,"1.387,00"  ,"1.308,22"  ,1       ,6%        ,"0,00"            ,"0,00"        ,21           ,Voorgerechten Meierij
Salade gerookte zalm                     ,265     ,Salade gerookte zalm       ,38    ,"9,50"    ,"361,00"    ,"340,49"    ,1       ,6%        ,"0,00"            ,"0,00"        ,21           ,Voorgerechten Meierij
Fruitcocktail                            ,266     ,Fruitcocktail              ,7     ,"4,00"    ,"28,00"     ,"26,40"     ,1       ,6%        ,"0,00"            ,"0,00"        ,21           ,Voorgerechten Meierij
Tomatensoep                              ,267     ,Tomatensoep                ,10    ,"4,00"    ,"40,00"     ,"37,71"     ,1       ,6%        ,"0,00"            ,"0,00"        ,21           ,Voorgerechten Meierij
Champignonsoep                           ,268     ,Champignonsoep             ,3     ,"4,00"    ,"12,00"     ,"11,31"     ,1       ,6%        ,"0,00"            ,"0,00"        ,21           ,Voorgerechten Meierij
Carpaccio                                ,269     ,Carpaccio                  ,0     ,"9,50"    ,"0,00"      ,"0,00"      ,1       ,6%        ,"0,00"            ,"0,00"        ,22           ,Voorgerechten Bokkesteeg
Uiensoep                                 ,270     ,Uiensoep                   ,0     ,"5,50"    ,"0,00"      ,"0,00"      ,1       ,6%        ,"0,00"            ,"0,00"        ,22           ,Voorgerechten Bokkesteeg
Bokkesteeg proeverij                     ,273     ,Bokkesteeg proeverij       ,0     ,"11,50"   ,"0,00"      ,"0,00"      ,1       ,6%        ,"0,00"            ,"0,00"        ,22           ,Voorgerechten Bokkesteeg
Ribeye                                   ,281     ,Ribeye                     ,262   ,"23,50"   ,"6.157,00"  ,"5.808,54"  ,1       ,6%        ,"0,00"            ,"0,00"        ,23           ,Hoofgerechten Meierij
Ribeye                                   ,281     ,Runder-ribeye Black Angus  ,1     ,"23,50"   ,"23,50"     ,"22,17"     ,1       ,6%        ,"0,00"            ,"0,00"        ,23           ,Hoofgerechten Meierij
Zalmfilet                                ,282     ,Zalmfilet                  ,161   ,"18,50"   ,"2.978,50"  ,"2.809,59"  ,1       ,6%        ,"0,00"            ,"0,00"        ,23           ,Hoofgerechten Meierij
Eendenborst                              ,283     ,Eendenborst                ,82    ,"18,50"   ,"1.517,00"  ,"1.431,04"  ,1       ,6%        ,"0,00"            ,"0,00"        ,23           ,Hoofgerechten Meierij
Saté                                     ,284     ,Saté                       ,298   ,"16,50"   ,"4.917,00"  ,"4.639,25"  ,1       ,6%        ,"0,00"            ,"0,00"        ,23           ,Hoofgerechten Meierij
Saté                                     ,284     ,Saté van varkenshaas       ,3     ,"16,50"   ,"49,50"     ,"46,70"     ,1       ,6%        ,"0,00"            ,"0,00"        ,23           ,Hoofgerechten Meierij
Biefstuk                                 ,285     ,Biefstuk                   ,444   ,"19,50"   ,"8.658,00"  ,"8.169,32"  ,1       ,6%        ,"0,00"            ,"0,00"        ,23           ,Hoofgerechten Meierij
Biefstuk                                 ,285     ,Ierse kogelbiefstuk        ,2     ,"19,50"   ,"39,00"     ,"36,80"     ,1       ,6%        ,"0,00"            ,"0,00"        ,23           ,Hoofgerechten Meierij
Varkenshaasje                            ,286     ,Varkenshaasje              ,189   ,"19,00"   ,"3.591,00"  ,"3.386,96"  ,1       ,6%        ,"0,00"            ,"0,00"        ,23           ,Hoofgerechten Meierij
